,Event,Start Date,Start Time,End Date,End Time,Link,Platform
Hemavathy Guha,Traffic as a Metaphor ,1 Nov,12:00,1 Nov,13:00,https://zoom.us/j/94868120327?pwd=VG9sMURxYWowOHVQTXRUZU9kSXVRdz09,Zoom Passcode: 511233
Nikita Teresa Sarkar,Body-A-Fair ,1 Nov,16:00,1 Nov,18:00,https://zoom.us/j/94545716102?pwd=UTdaMmVSc2ZNOURFQkh1ejlodGlmdz09,Zoom Passcode: 930170
Pranay Dutta,Moments Before the Fall ,1 Nov,21:00,4 Nov,21:00,https://www.youtube.com/user/MMBNewDelhi/live,Youtube
Suvani Suri,On Mining the Ear for the Nearly-But-Not-Quite-There ,4 Nov,20:30,4 Nov,21:00,https://www.youtube.com/user/MMBNewDelhi/live,Youtube
Arshi Ahmadzai,Lihaaf ,5 Nov,10:00,5 Nov,18:00,https://www.youtube.com/user/MMBNewDelhi/live,Youtube
Ranjana Dave,ASL,5 Nov,20:00,5 Nov,21:00,,Mozilla Hubs
"Atufa Rais, Tayyab Hussain, Reshma Khatoon",Silverfish,6 Nov,18:00,6 Nov,20:00,"
https://zoom.us/j/93142150220?pwd=MDFGNGdJcXAvTWttNFpIMDJwWnNvdz09",Zoom Passcode: 445022
Ranjana Dave,ASL,6 Nov,20:00,6 Nov,21:00,,Mozilla Hubs
John Xaviers,Comic Theorytelling,7 Nov,17:30,7 Nov,18:30,,Youtube
Shraddha Borwake,Chaat Meets Science and Spirituality in Growing Urgency ,7 Nov,19:00,7 Nov,20:00,https://zoom.us/j/99994795252?pwd=aEdVdHF1TDJaaEFiZUd6bTF4WHJ4dz09,Zoom Passcode: 593754
Bazik Thlana,Bedbug Intimacy ,7 Nov,,7 Nov,,,
Rajyashri Goody,Power & Pulp,8 Nov,11:00,8 Nov,14:00,https://www.youtube.com/user/MMBNewDelhi/live,Youtube
Nikita Teresa Sarkar,Body-A-Fair ,8 Nov,16:00,8 Nov,18:00,https://zoom.us/j/94545716102?pwd=UTdaMmVSc2ZNOURFQkh1ejlodGlmdz09,Zoom Passcode: 930170
Ranjana Dave,ASL,8 Nov,19:00,8 Nov,20:00,,Mozilla Hubs
Sonam Chaturvedi,Kairoi Time Auction,8 Nov,,8 Nov,,,Zoom
Ranjana Dave,Power & Pulp,9 Nov,11:00,9 Nov,14:00,https://www.youtube.com/user/MMBNewDelhi/live,Youtube
Deepa Jayaraman,Yarn Array,9 Nov,,9 Nov,,https://www.youtube.com/user/MMBNewDelhi/live,Youtube
"Krishnapriya CP, Narendran K",DIctionary of Nonsense,9 Nov,,9 Nov,,,Zoom
Rajyashri Goody,Power & Pulp,10 Nov,11:00,10 Nov,14:00,https://www.youtube.com/user/MMBNewDelhi/live,Youtube
Suvani Suri,On mining the ear for the nearly-but-not-quite-there ,10 Nov,,10 Nov,,https://www.youtube.com/user/MMBNewDelhi/live,Youtube
Sujith Malik,Loss of Horizon and Other Converging Acts ,10 Nov,,10 Nov,,,Zoom
